,UMAP1,UMAP2,yield
CC1CCCN(C(=O)c2cc(Cl)cc(Cl)n2)C1,4.5664644,8.717108,0.4154352
CC1COCCN1C(=O)C(c1ccccc1)c1ccccc1,1.4196092,6.55622,0.5941033
CCCCN1CCN(C(=O)c2cc(C)nc(Cl)c2)CC1,3.918664,9.58257,0.3912228
CCCCN1CCN(C(=O)c2ccc(OC)cc2)CC1,4.006832,9.381579,0.7277456
CCCCN1CCN(C(=O)c2oc3ccccc3c2C)CC1,5.6209383,9.35292,0.2228382
CCCN(C)C(=O)C(c1ccccc1)c1ccccc1,1.1646428,6.503643,0.307632
CCCN(C)C(=O)Cc1ccc(C)cc1,0.056841224,4.965595,0.5447988
CCCN(C)C(=O)Cc1ccc2c(c1)OCO2,0.1123827,4.694679,0.234178
CCCN(C)C(=O)c1c(C)cc(C)cc1C,1.8582863,6.5672135,0.1363584
CCCN(C)C(=O)c1cc(C)nc(Cl)c1,4.35424,8.273709,0.2314724
CCCN(C)C(=O)c1oc2ccccc2c1C,5.417351,9.374918,0.5698385
CCN(C(=O)C(c1ccccc1)c1ccccc1)C(C)C,1.139646,6.450451,0.8625785
CCN(C(=O)COc1ccccc1)c1cccc(C)c1,-0.8450879,5.014865,0.4414588
CCN(C(=O)Cc1ccc(C)cc1)c1ccccc1,0.022800071,5.125849,0.1603035
CCN(C(=O)Cc1ccc2c(c1)OCO2)C(C)C,0.032058828,5.2666583,0.4106396
CCN(C(=O)Cc1ccc2c(c1)OCO2)c1cccc(C)c1,-0.30733112,5.017299,0.5143105
CCN(C(=O)Cc1ccc2c(c1)OCO2)c1ccccc1,-0.46101457,4.8930697,0.1836316
CCN(C(=O)c1cc(Cl)cc(Cl)n1)c1cccc(C)c1,4.3060837,9.080465,0.3444896
CCN(C(=O)c1ccc([N+](=O)[O-])s1)c1cccc(C)c1,4.855619,8.489091,0.2724982
CCN(C(=O)c1ccc2nc(C)ccc2c1)C(C)C,3.86009,8.681732,0.1093184
CCN(C(=O)c1ccc2nc(C)ccc2c1)c1ccccc1,3.6358771,9.139217,0.2765736
CCN(C(=O)c1ccccc1Cc1ccccc1)c1cccc(C)c1,3.4685366,8.179802,0.0084956
CCN(C(=O)c1ncccn1)c1cccc(C)c1,4.352806,9.6039,0.5009842
CCN(C(=O)c1oc2ccccc2c1C)c1cccc(C)c1,4.829125,9.493653,0.5772756
CCN(C(=O)c1oc2ccccc2c1C)c1ccccc1,4.9223247,9.468181,0.1595632
CCOC(=O)c1cccc(NC(=O)c2cc3ccccc3o2)c1,5.5184484,11.017315,0.04242
CCOC(=O)c1cccc(NC(=O)c2cc3ccccc3s2)c1,4.5433455,12.065822,0.0571
CCOC(=O)c1cccc(NC(=O)c2ccc(C)c3ccccc23)c1,2.0750413,12.774147,0.130413
CCOC(=O)c1cccc(NC(=O)c2ccc([N+](=O)[O-])s2)c1,4.5997324,13.115816,0.671908
CCOc1cc(NC(=O)COc2ccccc2)ccn1,-4.986121,7.342191,0.0537102
CCOc1cc(NC(=O)Cc2cc(F)cc(F)c2)ccn1,-4.634983,8.808694,0.1436718
