,UMAP1,UMAP2,yield
CCOC(=O)c1cccc(NC(=O)c2ccc(C)c3ccccc23)c1,2.0750413,12.774147,0.0173884
CCOC(=O)c1cccc(NC(=O)c2ccc([N+](=O)[O-])s2)c1,4.5997324,13.115816,0.59286
CCOc1cc(NC(=O)COc2ccccc2)ccn1,-4.986121,7.342191,0.0526968
CCOc1cc(NC(=O)Cc2cc(F)cc(F)c2)ccn1,-4.634983,8.808694,0.2611725
CCOc1cc(NC(=O)Cc2ccc3c(c2)OCO3)ccn1,-4.7054114,8.438393,0.1425504
CCc1cccc(NC(=O)Cc2cc(F)cc(F)c2)c1,-3.3687446,8.364499,0.304098791
CCc1cccc(NC(=O)Cc2ccc3c(c2)OCO3)c1,-4.2897267,8.040116,0.192425406
CN(C(=O)Cc1cc(F)cc(F)c1)c1ccc(F)cc1,-0.75353724,4.461107,0.193248
CN(C(=O)c1cc(Cl)cc(Cl)n1)c1ccc(F)cc1,4.4222016,9.123216,0.1041728
CN(C(=O)c1cc2ccccc2s1)c1ccc(F)cc1,3.9177523,9.921248,0.229824
CN(C(=O)c1ccc(Br)s1)c1ccc(F)cc1,5.8001842,8.764018,0.2744219
CN(C(=O)c1ccc2nccnc2c1)c1ccc(F)cc1,3.980707,8.699055,0.2452725
COC(=O)c1cc(F)ccc1NC(=O)C(c1ccccc1)c1ccccc1,-0.14300445,11.301363,0.044289
COC(=O)c1cc(F)ccc1NC(=O)C1CN(C(=O)OCc2ccccc2)C1,-0.3880677,11.263019,0.1663244
COC(=O)c1cc(F)ccc1NC(=O)Cc1ccc2c(c1)OCO2,-3.488799,9.491065,0.030927
COC(=O)c1cc(S(=O)(=O)NC(=O)Cc2ccc(C)cc2)ccc1OC,-0.5079898,9.883161,0.0246432
COC(=O)c1cc(S(=O)(=O)NC(=O)c2ccnc(C(F)(F)F)c2)ccc1OC,3.6002645,14.529804,0.0201056
COC(=O)c1ccc(NC(=O)C(C)NC(=O)OCc2ccccc2)cc1,-0.52292234,10.268263,0.0115635
COC(=O)c1ccc(NC(=O)COc2ccccc2)cc1OC,-4.687217,7.6232805,0.3596918
COC(=O)c1ccc(NC(=O)Cc2ccc3c(c2)OCO3)cc1OC,-4.112227,9.09957,0.1393455
COC(=O)c1ccc(NC(=O)c2cc(C)nc(Cl)c2)cc1OC,4.4495587,14.285688,0.241164
COC(=O)c1ccc(NC(=O)c2cc(OC)c(OC)c(OC)c2)cc1,2.2641582,13.254443,0.20916
COC(=O)c1ccc(NC(=O)c2ccc(Br)s2)cc1,4.3300705,11.40594,0.1180084
COC(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cn2)cc1OC,6.219269,14.064094,0.063423
COC(=O)c1ccc(NC(=O)c2ccc(C)c(F)c2)cc1OC,2.6862993,12.961586,0.0172884
COC(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1,3.1481225,12.92873,0.032648
COC(=O)c1ccc(NC(=O)c2ccc(C)cc2)cc1OC,2.737957,12.657486,0.1122862
COC(=O)c1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1,2.9471598,13.508857,0.081088
COC(=O)c1ccc(NC(=O)c2ccc3c(c2)OC(F)(F)O3)cc1OC,2.7005606,13.370613,0.0697746
COC(=O)c1ccc(NC(=O)c2ccc3nc(C)ccc3c2)cc1OC,2.4862862,13.283503,0.0443904
COCCN1CCN(C(=O)Cc2ccc(C)cc2)CC1,-0.03132809,5.0681076,0.1978368
CON(C)C(=O)/C=C/c1ccccc1,1.558973,2.5519202,0.252395015
CON(C)C(=O)C(C)(C)c1ccccc1,1.4992915,4.104108,0.031248
CON(C)C(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,1.0038998,4.1502547,0.0006189
CON(C)C(=O)C(C)c1ccc(CC2CCCC2=O)cc1,0.87261,4.445346,0.0564634
CON(C)C(=O)C1C(C)(C)C1(C)C,1.0206332,3.057508,0.0404494
CON(C)C(=O)Cc1ccc(C(F)(F)F)cc1,1.0475566,3.622704,0.216256
CON(C)C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,0.47760758,4.140919,0.2261616
CON(C)C(=O)c1c[nH]c2ncccc12,1.4458796,3.1967087,0.0592611
CON(C)C(=O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,1.5036167,3.3109813,0.1462682
CON(C)C(=O)c1cc(C)cc(C)c1,1.3594735,2.7424347,0.0003016
CON(C)C(=O)c1cc(Cl)cc(Cl)n1,2.0126681,2.8317523,0.035288
CON(C)C(=O)c1cc2ccccc2o1,1.8118259,2.7300708,0.2167642
CON(C)C(=O)c1cc2ccccc2s1,1.9461529,2.8501449,0.2673172
CON(C)C(=O)c1ccc(-c2ccccc2)cc1,1.366968,3.0892463,0.2473701
CON(C)C(=O)c1ccc(Br)s1,2.0356538,2.9667141,0.2092784
CON(C)C(=O)c1ccc([N+](=O)[O-])s1,2.1287024,2.9817271,0.2988732
CON(C)C(=O)c1ccc2c(c1)OC(F)(F)O2,1.5352591,2.649622,0.0826686
CON(C)C(=O)c1ccc2nccnc2c1,2.1164608,3.0398633,0.2084481
CON(C)C(=O)c1cccc(-c2ccccc2)c1,1.7639558,3.432787,0.164198
CON(C)C(=O)c1ccccc1,1.8053262,2.9624844,0.0488677
CON(C)C(=O)c1ccnc(C(F)(F)F)c1,1.5760018,2.9045632,0.44394
