,UMAP1,UMAP2
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NC(CC(=O)O)c1cccc(Cl)c1,5.0050387,6.757317
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NC1(CC(=O)O)CCC1,-0.027107382,2.3527002
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NC1CC(C(=O)O)C1,-0.34544957,-0.93689376
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NC1CC2CCCC(C(=O)O)N2C1=O,3.1910644,-0.4855936
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NC1CCC(CC(=O)O)CC1,-0.9705965,2.5975778
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NCC(Cc1ccccc1)C(=O)O,3.755504,4.120508
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NCCCCCCC(=O)O,-1.4371209,2.5380607
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)NCCCCCCCCCCC(=O)O,-1.4452512,3.1790538
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cccc(F)c1,7.047713,7.7343183
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](CC(N)=O)C(=O)O,3.6750798,0.08315925
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](CCC(N)=O)C(=O)O,3.6208322,0.29286206
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(C)(C)C)cc1)C(=O)O,5.2921515,4.0743566
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(Br)ccc1-2.CC(C)(C)OC(=O)N[C@@H](Cc1cccc(Cl)c1)C(=O)O,6.008714,2.7990263
