,0
101,COC(=O)CC1CCc2cc(C(Cc3cccnc3)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
102,COC(=O)CC1CCc2cc(C[C@H](NC(C)=O)C(=O)OC)cc3[nH]c(=O)c(=O)n1c23
103,COC(=O)CC1CCc2cc(C(C)O[C@H]3[C@H](O)[C@@H](CO)O[C@H](O)[C@@H]3NC(C)=O)cc3[nH]c(=O)c(=O)n1c23
104,COC(=O)CC1CCc2cc(C3CC(=O)N(Cc4cccs4)C3)cc3[nH]c(=O)c(=O)n1c23
105,COC(=O)CC1CCc2cc(C3CC(=O)C3)cc3[nH]c(=O)c(=O)n1c23
106,COC(=O)CC1CCc2cc(C3CCC(=O)CC3)cc3[nH]c(=O)c(=O)n1c23
107,COC(=O)CC1CCc2cc(C(C)OC)cc3[nH]c(=O)c(=O)n1c23
108,COC(=O)CC(NC(=O)OCc1ccccc1)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
109,COC(=O)CC1CCc2cc(C[C@H](C)O)cc3[nH]c(=O)c(=O)n1c23
110,COC(=O)CC1CCc2cc(COc3ccccc3-c3ccccc3)cc3[nH]c(=O)c(=O)n1c23
111,COC(=O)CC1CCc2cc(C3C[C@@H](OC(C)(C)C)CN3C(=O)OCc3ccccc3)cc3[nH]c(=O)c(=O)n1c23
112,COC(=O)CC1CCc2cc(CNC(=O)[C@H](CCSC)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
113,COC(=O)CC1CCc2cc(C(CCSC)NC(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
114,COC(=O)CC1CCc2cc(C(C)N3C(=O)c4ccccc4C3=O)cc3[nH]c(=O)c(=O)n1c23
115,COC(=O)CC1CCc2cc(C3CCN(c4ccc(C(F)(F)F)cn4)CC3)cc3[nH]c(=O)c(=O)n1c23
116,COC(=O)CC1CCc2cc(CSc3ccc(C(C)(C)C)cc3)cc3[nH]c(=O)c(=O)n1c23
117,COC(=O)CC1CCc2cc(Cn3nc(-c4ccccc4)c4ccccc4c3=O)cc3[nH]c(=O)c(=O)n1c23
118,COC(=O)CC1CCc2cc(C(CCCCNC(C)=O)NC(C)=O)cc3[nH]c(=O)c(=O)n1c23
119,COC(=O)CC1CCc2cc(C3CCCCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
120,COC(=O)CC1CCc2cc(C(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc3[nH]c(=O)c(=O)n1c23
121,COC(=O)CC1CCc2cc(C3COc4ccccc4O3)cc3[nH]c(=O)c(=O)n1c23
122,CCOC(=O)NC(Cc1ccccc1)c1cc2c3c(c1)[nH]c(=O)c(=O)n3C(CC(=O)OC)CC2
123,COC(=O)CC1CCc2cc(CCc3cccnc3)cc3[nH]c(=O)c(=O)n1c23
124,COC(=O)CC1CCc2cc(Cn3cc(C)c(=O)[nH]c3=O)cc3[nH]c(=O)c(=O)n1c23
125,COC(=O)CC1CCc2cc(CSc3nnc(-c4ccccc4OC(C)C)[nH]3)cc3[nH]c(=O)c(=O)n1c23
126,CCCOc1ccc(Cc2cc3c4c(c2)[nH]c(=O)c(=O)n4C(CC(=O)OC)CC3)cc1
127,COC(=O)CC1CCc2cc(C3CCCN3C(=O)OC(C)(C)C)cc3[nH]c(=O)c(=O)n1c23
